Theta,F_(11)(Theta)//(4pi),F_(21)(Theta)//(4pi),F_(33)(theta)//(4pi),F_(43)(theta)//(4pi)
0,1190.722811,0,1190.722811,0
0.1,836.2337569,0.01246421,836.2336831,-0.09601859
0.2,419.9532208,0.02162061,419.9528515,-0.1216295
0.3,267.1711426,0.0217878,267.1707134,-0.10340069
0.4,193.7566885,0.0232094,193.7563904,-0.09221457
0.5,152.566506,0.02400751,152.5663022,-0.0841824
0.6,125.9080245,0.02467411,125.9078264,-0.07674822
0.7,107.3156459,0.02475827,107.3154461,-0.07108205
0.8,93.70175646,0.02489046,93.70156226,-0.06627137
0.9,83.1816539,0.02493559,83.18146529,-0.06184754
1,74.8297051,0.02476193,74.82952201,-0.05821568
1.1,67.99500837,0.02457984,67.99482713,-0.05516213
1.2,62.24121017,0.02428002,62.24102776,-0.05222311
1.3,57.35668886,0.02384108,57.35650608,-0.04968885
1.4,53.11554723,0.02347921,53.11536628,-0.04743986
1.5,49.38377502,0.02307466,49.38359221,-0.04529055
1.6,46.06534188,0.02256738,46.06515871,-0.04341368
1.7,43.08338897,0.02209997,43.08320548,-0.04164893
1.8,40.39486695,0.02164389,40.39468246,-0.04004462
1.9,37.94154546,0.02116027,37.94136076,-0.03863413
2,35.69586659,0.02065367,35.69568174,-0.03724979
2.1,33.62106763,0.02006384,33.62088127,-0.03602948
2.2,31.70765804,0.01947906,31.7074725,-0.03479155
2.3,29.93160703,0.01892284,29.93142102,-0.03364304
2.4,28.28185038,0.01833908,28.2816641,-0.03259549
2.5,26.74222279,0.0178861,26.74203729,-0.03153973
2.6,25.30098895,0.01728595,25.30080386,-0.03058307
2.7,23.95169494,0.01671755,23.95151065,-0.02967948
2.8,22.68571566,0.01619123,22.68553331,-0.02883726
2.9,21.49907334,0.0156353,21.49889245,-0.02804924
3,20.38362871,0.01510626,20.38344942,-0.02719603
3.1,19.33540389,0.0145436,19.33522703,-0.02647064
3.2,18.34700872,0.01394821,18.34683359,-0.02578978
3.3,17.41624727,0.01346816,17.41607461,-0.02508342
3.4,16.53761943,0.01291636,16.53744846,-0.02437339
3.5,15.70970501,0.01232943,15.70953567,-0.02374099
3.6,14.92853325,0.01182505,14.92836543,-0.02310629
