Theta,F_(11)(Theta)//(4pi),F_(21)(Theta)//(4pi),F_(33)(theta)//(4pi),F_(43)(theta)//(4pi)
18,0.26404463,-0.00482871,0.26378303,-0.00349519
19,0.22763028,-0.00490186,0.22735873,-0.00320992
20,0.1975681,-0.00494911,0.19728647,-0.0029503
21,0.17251497,-0.00498542,0.17222266,-0.00271443
22,0.15147573,-0.00500607,0.15117249,-0.00250374
23,0.13367114,-0.00501368,0.13335621,-0.00230929
24,0.1185025,-0.0050132,0.11817577,-0.00213284
25,0.10550536,-0.0050035,0.10516601,-0.00197102
26,0.0943022,-0.0049844,0.09395011,-0.0018236
27,0.0845993,-0.00496296,0.0842338,-0.00168733
28,0.07615348,-0.0049317,0.0757742,-0.00156295
29,0.06876976,-0.00489932,0.06837626,-0.00144803
30,0.06228799,-0.00486047,0.0618799,-0.0013418
31,0.05657532,-0.00482036,0.05615216,-0.00124354
32,0.0515242,-0.00477625,0.05108557,-0.00115385
33,0.04704016,-0.00472985,0.04658569,-0.00106981
34,0.04304892,-0.00468216,0.04257821,-0.00099261
35,0.03948444,-0.00463193,0.03899708,-0.0009206
36,0.03629186,-0.00458054,0.03578753,-0.00085314
37,0.03342605,-0.00452806,0.03290432,-0.00079105
38,0.03084572,-0.00447473,0.0303063,-0.00073271
39,0.0285174,-0.00442121,0.02795993,-0.0006785
40,0.02641241,-0.00436664,0.0258365,-0.0006278
41,0.02450422,-0.00431211,0.0239096,-0.00058014
42,0.02277221,-0.00425759,0.02215851,-0.0005359
43,0.02119702,-0.00420255,0.02056399,-0.00049388
44,0.01976173,-0.0041481,0.019109,-0.0004546
45,0.01845258,-0.00409408,0.01777998,-0.00041686
46,0.01725781,-0.00403999,0.0165648,-0.00038183
47,0.01616466,-0.00398632,0.0154511,-0.00034793
48,0.01516666,-0.00393414,0.01443215,-0.00031589
49,0.01425381,-0.00388168,0.01349816,-0.00028513
50,0.01341974,-0.00383085,0.01264251,-0.00025517
51,0.0126606,-0.00378146,0.01186147,-0.00022572
52,0.01196971,-0.00373305,0.01114848,-0.00019771
53,0.01134461,-0.00368658,0.01050086,-0.00016987
54,0.01077914,-0.00364208,0.00991279,-0.00014353
55,0.01026745,-0.00359929,0.00937814,-0.00011936
56,0.00979757,-0.00355794,0.00888537,-0.0000984
57,0.00935441,-0.00351627,0.00841932,-0.00008301
58,0.00891859,-0.00347237,0.00796091,-0.00007397
59,0.0084763,-0.00342526,0.00749596,-0.00007078
60,0.00802436,-0.00337248,0.00702143,-0.00007057
61,0.00757649,-0.0033168,0.00655075,-0.00006984
62,0.00715254,-0.00326059,0.00610371,-0.00006691
63,0.00676165,-0.00320547,0.00568962,-0.00006298
64,0.00639755,-0.00315105,0.00530212,-0.00005951
65,0.00605229,-0.00309569,0.00493324,-0.00005599
66,0.00572932,-0.00304071,0.00458626,-0.00005009
67,0.0054335,-0.00298723,0.00426655,-0.00004288
68,0.00516078,-0.00293489,0.00396977,-0.00003573
69,0.00490741,-0.00288283,0.00369223,-0.00002825
70,0.00467398,-0.00283231,0.0034347,-0.00002028
71,0.0044579,-0.00278235,0.00319445,-0.00001325
72,0.00425613,-0.00273306,0.00296845,-0.00000604
73,0.00406945,-0.00268468,0.00275752,0.00000102
74,0.003895,-0.0026368,0.0025587,0.0000076
75,0.0037328,-0.0025896,0.00237219,0.0000142
76,0.00358158,-0.00254318,0.00219639,0.00002058
77,0.0034406,-0.0024972,0.00203106,0.0000267
78,0.00330914,-0.00245184,0.00187497,0.00003274
79,0.00318667,-0.00240737,0.00172792,0.00003867
80,0.00307259,-0.00236329,0.00158913,0.00004439
81,0.00296634,-0.00231984,0.00145807,0.00005014
82,0.00286748,-0.00227708,0.00133445,0.00005568
83,0.00277566,-0.00223506,0.00121774,0.00006126
84,0.00269026,-0.00219336,0.00110754,0.00006666
85,0.00261123,-0.00215253,0.00100346,0.00007213
86,0.00253815,-0.00211225,0.00090545,0.00007745
87,0.00247046,-0.00207266,0.00081252,0.00008286
88,0.00240797,-0.00203357,0.00072507,0.00008797
89,0.00235025,-0.00199525,0.00064217,0.00009315
90,0.00229676,-0.00195736,0.00056354,0.00009816
91,0.00224702,-0.00192002,0.00048853,0.00010292
92,0.00220051,-0.00188331,0.000417,0.00010731
93,0.0021572,-0.0018473,0.00034815,0.0001116
94,0.00211572,-0.00181162,0.00028146,0.00011552
95,0.00207649,-0.00177659,0.00021666,0.00011909
96,0.0020388,-0.0017419,0.00015375,0.0001226
97,0.0020031,-0.0017079,0.00009264,0.0001257
98,0.00196951,-0.00167471,0.00003344,0.00012901
99,0.00193862,-0.00164222,-0.00002309,0.00013232
100,0.00191049,-0.00161071,-0.0000767,0.00013549
101,0.00188577,-0.00158038,-0.00012719,0.00013857
102,0.00186332,-0.00155067,-0.00017495,0.00014082
103,0.00184226,-0.00152125,-0.00022123,0.00014196
104,0.00182107,-0.00149165,-0.00026756,0.00014207
105,0.00180004,-0.00146162,-0.00031303,0.00014144
106,0.00178001,-0.00143206,-0.00035763,0.00014008
107,0.00176027,-0.00140183,-0.0004013,0.00013811
108,0.00174158,-0.0013721,-0.00044404,0.00013537
109,0.00172385,-0.00134194,-0.00048552,0.00013227
110,0.00170666,-0.00131185,-0.00052613,0.00012865
111,0.00169053,-0.00128155,-0.00056546,0.00012464
112,0.00167516,-0.00125129,-0.00060411,0.00012027
113,0.00166067,-0.00122084,-0.00064157,0.0001158
114,0.00164705,-0.00119035,-0.00067813,0.00011106
115,0.0016342,-0.00115954,-0.0007136,0.00010639
116,0.00162252,-0.00112903,-0.00074799,0.00010165
117,0.00161171,-0.00109825,-0.00078174,0.00009699
118,0.00160177,-0.00106746,-0.00081406,0.00009274
119,0.00159282,-0.00103688,-0.00084545,0.00008859
120,0.00158511,-0.0010064,-0.00087596,0.00008483
121,0.00157824,-0.00097604,-0.00090528,0.00008143
122,0.00157212,-0.00094593,-0.00093366,0.00007844
123,0.00156716,-0.00091603,-0.00096067,0.00007589
124,0.00156268,-0.00088656,-0.000987,0.00007345
125,0.00155927,-0.00085752,-0.00101216,0.00007128
126,0.00155622,-0.00082879,-0.00103653,0.00006936
127,0.00155375,-0.00080046,-0.00105993,0.00006762
128,0.00155187,-0.00077282,-0.00108272,0.00006586
129,0.00155048,-0.00074525,-0.00110501,0.00006434
130,0.00154924,-0.00071832,-0.00112645,0.00006284
131,0.00154837,-0.00069178,-0.00114731,0.0000613
132,0.00154803,-0.00066569,-0.00116757,0.00005981
133,0.00154772,-0.00064001,-0.00118728,0.00005844
134,0.00154808,-0.00061481,-0.00120617,0.00005722
135,0.00154871,-0.00059013,-0.00122439,0.00005611
136,0.0015498,-0.00056578,-0.00124182,0.00005511
137,0.00155155,-0.00054224,-0.0012586,0.0000543
138,0.00155381,-0.00051898,-0.0012746,0.00005343
139,0.0015563,-0.00049618,-0.00128972,0.00005269
140,0.0015595,-0.00047404,-0.00130416,0.00005211
141,0.00156305,-0.00045243,-0.00131799,0.00005155
142,0.00156691,-0.00043121,-0.00133098,0.00005108
143,0.00157126,-0.00041053,-0.00134325,0.00005086
144,0.00157593,-0.00039039,-0.00135499,0.00005062
145,0.00158109,-0.00037059,-0.00136595,0.00005058
146,0.00158655,-0.00035166,-0.00137645,0.00005055
147,0.00159253,-0.00033312,-0.00138618,0.00005075
148,0.00159883,-0.00031522,-0.00139521,0.00005096
149,0.00160543,-0.00029759,-0.00140366,0.00005128
150,0.00161242,-0.00028067,-0.00141136,0.00005177
151,0.00161982,-0.00026428,-0.00141835,0.00005253
152,0.00162758,-0.00024839,-0.00142485,0.00005324
153,0.00163578,-0.00023317,-0.00143093,0.00005399
154,0.00164449,-0.00021863,-0.00143605,0.00005509
155,0.00165329,-0.00020441,-0.00144073,0.00005644
156,0.00166276,-0.00019098,-0.00144445,0.00005769
157,0.00167266,-0.0001778,-0.00144757,0.00005949
158,0.00168306,-0.00016573,-0.00145019,0.00006114
159,0.0016943,-0.00015386,-0.00145198,0.00006324
160,0.00170579,-0.00014276,-0.00145309,0.00006538
161,0.00171824,-0.00013249,-0.00145294,0.0000682
162,0.00173119,-0.00012255,-0.0014522,0.00007122
163,0.0017459,-0.00011364,-0.0014505,0.00007477
164,0.00176125,-0.00010507,-0.00144755,0.00007864
165,0.00177816,-0.0000973,-0.00144287,0.00008328
166,0.00179664,-0.00009012,-0.00143667,0.00008851
167,0.00181805,-0.00008382,-0.00142854,0.00009429
168,0.00184191,-0.00007848,-0.0014182,0.00010137
169,0.00186904,-0.00007316,-0.00140489,0.00010875
170,0.0019003,-0.00006784,-0.00138834,0.00011771
171,0.00193734,-0.00006308,-0.00136683,0.00012824
172,0.00198194,-0.00005698,-0.00133987,0.00014006
173,0.00203868,-0.00005064,-0.00130393,0.00015496
174,0.00211245,-0.00004089,-0.00125493,0.00017084
175,0.00220881,-0.00002387,-0.00118956,0.00018644
176,0.00232072,0.000005,-0.0011159,0.00018517
177,0.00241077,0.00004892,-0.00109004,0.00012081
178,0.00246903,0.00008016,-0.00117076,0.0000059
179,0.0027992,0.00005866,-0.00126281,0.00012215
180,0.003583,0,-0.003583,0
